name,description,unit_weight,text_item,type,status,sub_rent,quantity
Data Cable,"",0.06,false,,,false,0.0
USB A to USB B mini cable,"",0.06,false,Rental,Checked In,false,1.0
Audio - Amplifiers,"",15.7,false,,,false,0.0
Nexo NXAMP4x1MK2 4-channel 1300w Power Amplifier,"",15.7,false,Rental,Checked In,false,1.0
Soft cases,"",0.81,false,,,false,0.0
Gravity Carry Bag for Distance Poles BG DBLS 331,"",0.81,false,Rental,Checked In,false,1.0
Lighting & Effects - Stands and Accessories,"",1.84,false,,,false,0.0
Gravity Adjustable lighting pole for square base,"",1.84,false,Rental,Checked In,false,1.0
Audio Cable - XLR,"",24.62,false,,,false,0.0
"XLR(m) to XLR(f) cable, 01m","",0.12,false,Rental,Mixed,false,10.0
"XLR(m) to XLR(f) cable, 02m","",0.21,false,Rental,Mixed,false,10.0
"XLR(m) to XLR(f) cable, 03m","",0.21,false,Rental,Mixed,false,10.0
"XLR(m) to XLR(f) cable, 05m","",0.31,false,Rental,Checked In,false,10.0
"XLR(m) to XLR(f) cable, 10m","",0.55,false,Rental,Checked In,false,10.0
"XLR(m) to XLR(f) cable, 15m","",0.65,false,Rental,Checked In,false,6.0
"XLR(m) to XLR(f) cable, 20m","",1.12,false,Rental,Checked In,false,6.0
Power Cable and Distribution - 13A,"",20.32,false,,,false,0.0
"13A 4-gang power extension, H07RN, 03m","",0.7,false,Rental,Checked In,false,5.0
"13A 4-gang power extension, H07RN, 05m","",1.01,false,Rental,Checked In,false,5.0
"13A 2-gang power extension, 03m","",0.6,false,Rental,Checked In,false,3.0
"13A 2-gang power extension, 10m","",1.62,false,Rental,Checked In,false,1.0
"13A 2-gang power extension, H07RN, 05m","",1.0,false,Rental,Checked In,false,4.0
"13A 4-gang power extension, H07RN, 10m","",1.72,false,Rental,Checked In,false,2.0
"13A 4-gang Power Extension, 00.5m","",0.21,false,Rental,Mixed,false,3.0
"13A 6-gang power extension, 00.5m","",0.28,false,Rental,Checked In,false,1.0
Coax Cable,"",0.2,false,,,false,0.0
"50  Ohm Coaxial Cable, 150mm","",0.2,false,Rental,Checked In,false,1.0
Audio Cable - Multicore,"",0.08,false,,,false,0.0
"XLR(m) to XLR(f), 4 way loom, 05m","",0.08,false,Rental,Checked In,false,1.0
Audio - Microphone Stands and Accessories,"",2.4,false,,,false,0.0
K&M Base for Gooseneck Microphone,"",2.4,false,Rental,Booked Out,false,1.0
Storage,"",2.9,false,,,false,0.0
Storage crate (40 litre black/red),"",2.9,false,Rental,Checked In,false,1.0
DMX Cable - 5pin,"",1.03,false,,,false,0.0
"DMX 5pin, 05m","",0.15,false,Rental,Checked In,false,1.0
"DMX 5pin, 10m","",0.44,false,Rental,Checked In,false,2.0
